rating,comment,date,reviewerName,reviewerEmail,product_id
1,Very dissatisfied!,2025-04-30T09:41:02.053Z,Scarlett Bowman,scarlett.bowman@x.dummyjson.com,16
3,Very unhappy with my purchase!,2025-04-30T09:41:02.053Z,William Gonzalez,william.gonzalez@x.dummyjson.com,16
3,Would not recommend!,2025-04-30T09:41:02.053Z,Eleanor Tyler,eleanor.tyler@x.dummyjson.com,17
4,Fast shipping!,2025-04-30T09:41:02.053Z,Alexander Jones,alexander.jones@x.dummyjson.com,17
5,Great value for money!,2025-04-30T09:41:02.053Z,Natalie Harris,natalie.harris@x.dummyjson.com,17
3,Would not recommend!,2025-04-30T09:41:02.053Z,Noah Lewis,noah.lewis@x.dummyjson.com,18
3,Very unhappy with my purchase!,2025-04-30T09:41:02.053Z,Ruby Andrews,ruby.andrews@x.dummyjson.com,18
2,Very disappointed!,2025-04-30T09:41:02.053Z,Ethan Thompson,ethan.thompson@x.dummyjson.com,18
5,Great product!,2025-04-30T09:41:02.053Z,Mateo Bennett,mateo.bennett@x.dummyjson.com,19
4,Highly recommended!,2025-04-30T09:41:02.053Z,Jackson Evans,jackson.evans@x.dummyjson.com,19
3,Not worth the price!,2025-04-30T09:41:02.053Z,Sadie Morales,sadie.morales@x.dummyjson.com,19
5,Very happy with my purchase!,2025-04-30T09:41:02.053Z,Victoria McDonald,victoria.mcdonald@x.dummyjson.com,20
2,Would not recommend!,2025-04-30T09:41:02.053Z,Hazel Evans,hazel.evans@x.dummyjson.com,20
5,Would buy again!,2025-04-30T09:41:02.053Z,Zoe Bennett,zoe.bennett@x.dummyjson.com,20
4,Great product!,2025-04-30T09:41:02.053Z,Lincoln Kelly,lincoln.kelly@x.dummyjson.com,21
4,Great value for money!,2025-04-30T09:41:02.053Z,Savannah Gomez,savannah.gomez@x.dummyjson.com,21
2,Poor quality!,2025-04-30T09:41:02.053Z,James Davis,james.davis@x.dummyjson.com,21
5,Excellent quality!,2025-04-30T09:41:02.053Z,Nicholas Edwards,nicholas.edwards@x.dummyjson.com,22
5,Awesome product!,2025-04-30T09:41:02.053Z,Zachary Lee,zachary.lee@x.dummyjson.com,22
4,Great product!,2025-04-30T09:41:02.053Z,Nova Cooper,nova.cooper@x.dummyjson.com,22
3,Disappointing product!,2025-04-30T09:41:02.053Z,Penelope King,penelope.king@x.dummyjson.com,23
3,Poor quality!,2025-04-30T09:41:02.053Z,Eleanor Tyler,eleanor.tyler@x.dummyjson.com,23
4,Very pleased!,2025-04-30T09:41:02.053Z,Benjamin Foster,benjamin.foster@x.dummyjson.com,23
2,Would not buy again!,2025-04-30T09:41:02.053Z,Caleb Perkins,caleb.perkins@x.dummyjson.com,24
5,Excellent quality!,2025-04-30T09:41:02.053Z,Isabella Jackson,isabella.jackson@x.dummyjson.com,24
4,Great value for money!,2025-04-30T09:41:02.053Z,Nathan Dixon,nathan.dixon@x.dummyjson.com,24
4,Highly recommended!,2025-04-30T09:41:02.053Z,Avery Carter,avery.carter@x.dummyjson.com,25
3,Would not recommend!,2025-04-30T09:41:02.053Z,Henry Hill,henry.hill@x.dummyjson.com,25
5,Excellent quality!,2025-04-30T09:41:02.053Z,Addison Wright,addison.wright@x.dummyjson.com,25
4,Great product!,2025-04-30T09:41:02.053Z,Luna Russell,luna.russell@x.dummyjson.com,26
1,Waste of money!,2025-04-30T09:41:02.053Z,Noah Lewis,noah.lewis@x.dummyjson.com,26
3,Very disappointed!,2025-04-30T09:41:02.053Z,Clara Berry,clara.berry@x.dummyjson.com,26
1,Very disappointed!,2025-04-30T09:41:02.053Z,Autumn Gomez,autumn.gomez@x.dummyjson.com,27
4,Highly impressed!,2025-04-30T09:41:02.053Z,Benjamin Wilson,benjamin.wilson@x.dummyjson.com,27
2,Very disappointed!,2025-04-30T09:41:02.053Z,Nicholas Edwards,nicholas.edwards@x.dummyjson.com,27
5,Very pleased!,2025-04-30T09:41:02.053Z,Elijah Cruz,elijah.cruz@x.dummyjson.com,28
4,Excellent quality!,2025-04-30T09:41:02.053Z,Jace Smith,jace.smith@x.dummyjson.com,28
5,Highly impressed!,2025-04-30T09:41:02.053Z,Sadie Morales,sadie.morales@x.dummyjson.com,28
5,Excellent quality!,2025-04-30T09:41:02.053Z,Nolan Gonzalez,nolan.gonzalez@x.dummyjson.com,29
4,Would buy again!,2025-04-30T09:41:02.053Z,Bella Grant,bella.grant@x.dummyjson.com,29
5,Awesome product!,2025-04-30T09:41:02.053Z,Aria Flores,aria.flores@x.dummyjson.com,29
4,Highly recommended!,2025-04-30T09:41:02.053Z,Emily Brown,emily.brown@x.dummyjson.com,30
2,Would not buy again!,2025-04-30T09:41:02.053Z,Jackson Morales,jackson.morales@x.dummyjson.com,30
4,Fast shipping!,2025-04-30T09:41:02.053Z,Nora Russell,nora.russell@x.dummyjson.com,30
